Tag ID#1,Tag ID#2,Date Tagged,R1Date,R2Date,R3Date,dal1,dal2,dal3,R1Tag,R2Tag,R3Tag,TagSite,Site Recap1,Site Recap2,Site Recap3,Site Recap4,Inside/Outside Tagged,Inside/Outside Recap1,Inside/Outside Recap2,Inside/Outside Recap3,Inside/Outside Recap4,Fin Clip ID tagging,Species,SL (mm) Tagged,SL (mm) Recap1,SL (mm) Recap2,SL (mm) Recap3,TL (in) Recap1,TL (in) Recap2,"If recapture, released/kept? Recap1","If recapture, released/kept? Recap2","If recapture, released/kept? Recap3","If recapture, released/kept? Recap4"
52,51,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,270,,,,,,,,,
56,55,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,264,,,,,,,,,
58,57,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,275,,,,,,,,,
60,59,10/24/2012,12/6/2012,,,43,,,2,,,La Jolla Cove,La Jolla Cove,,,,Inside,Inside,,,,,kelp bass,265,262,,,,,"released, tag left in place",,,
63,62,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,250,,,,,,,,,
65,64,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,277,,,,,,,,,
67,66,10/24/2012,10/22/2013,,,,,363,2,,,La Jolla Cove,La Jolla Cove,,,,Inside,Inside,,,,,kelp bass,232,252,,,,,,,,
71,70,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,324,,,,,,,,,
73,72,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,355,,,,,,,,,
75,74,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,402,,,,,,,,,
79,80,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,259,,,,,,,,,
81,82,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,430,,,,,,,,,
84,85,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,294,,,,,,,,,
86,87,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,423,,,,,,,,,
88,89,10/24/2012,6/24/2014,,,,,608,1,,,La Jolla Cove,La Jolla Cove,,,,Inside,Inside,,,,,kelp bass,314,340,,,,,"released, tag left in place",,,
90,91,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,305,,,,,,,,,
92,93,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,358,,,,,,,,,
95,96,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,265,,,,,,,,,
97,98,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,405,,,,,,,,,
99,100,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,298,,,,,,,,,
102,103,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,247,,,,,,,,,
104,105,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,203,,,,,,,,,
106,107,10/24/2012,6/17/2013,,,,,,2,,,La Jolla Cove,La Jolla Cove,,,,Inside,Inside,,,,,kelp bass,282,294,,,,,"released, tag left in place",,,
108,109,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,232,,,,,,,,,
111,112,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,281,,,,,,,,,
114,115,10/24/2012,10/16/2013,,,,,357,2,,,La Jolla Cove,La Jolla Cove,,,,Inside,Inside,,,,,kelp bass,195,207,,,,,"released, tag left in place",,,
116,117,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,242,,,,,,,,,
118,119,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,230,,,,,,,,,
120,121,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,214,,,,,,,,,
122,123,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,240,,,,,,,,,
126,127,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,310,,,,,,,,,
128,129,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,294,,,,,,,,,
130,131,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,283,,,,,,,,,
132,133,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,232,,,,,,,,,
134,135,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,225,,,,,,,,,
136,137,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,247,,,,,,,,,
138,139,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,244,,,,,,,,,
140,141,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,233,,,,,,,,,
142,143,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,286,,,,,,,,,
144,145,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,304,,,,,,,,,
146,147,10/24/2012,7/1/2013,,,,,,2,,,La Jolla Cove,La Jolla,,,,Inside,Outside,,,,,kelp bass,236,244,,,,,,,,
153,154,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,330,,,,,,,,,
155,156,11/30/2012,6/23/2013,,,,,,2,,,La Jolla,La Jolla,,,,Outside,Outside,,,,,kelp bass,248,,,,,,"released, tag left in place",,,
159,160,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,315,,,,,,,,,
162,163,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,279,,,,,,,,,
164,165,11/30/2012,6/23/2013,,,,,,2,,,La Jolla,La Jolla,,,,Outside,Outside,,,,,kelp bass,249,,,,,,"released, tag left in place",,,
170,171,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,332,,,,,,,,,
174,175,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,283,,,,,,,,,
184,185,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,280,,,,,,,,,
186,187,11/30/2012,2/10/2014,,,,,437,2,,,La Jolla,La Jolla,,,,Outside,Outside,,,,,kelp bass,287,,,,,,kept,,,
188,189,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,311,,,,,,,,,
190,191,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,unknown,,,,,,,,,
192,193,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,278,,,,,,,,,
194,195,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,259,,,,,,,,,
196,197,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,337,,,,,,,,,
198,199,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,302,,,,,,,,,
201,202,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,214,,,,,,,,,
203,204,10/30/2012,11/2/2012,,,3,,,2,,,La Jolla,La Jolla,,,,Outside,Outside,,,,,kelp bass,246,246,,,,,"released, tag left in place",,,
205,206,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,212,,,,,,,,,
207,208,10/30/2012,7/1/2013,,,,,,2,,,La Jolla,La Jolla,,,,Outside,Outside,,,,,kelp bass,232,238,,,,,"released, tag left in place",,,
209,210,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,211,,,,,,,,,
211,212,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,310,,,,,,,,,
215,216,10/30/2012,6/5/2014,,,,,583,2,,,La Jolla,La Jolla,,,,Outside,Outside,,,,,kelp bass,200,,,,,,"released, tag left in place",,,
218,219,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,262,,,,,,,,,
220,221,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,221,,,,,,,,,
224,225,10/30/2012,5/22/2014,,,,,569,1,,,La Jolla,La Jolla,,,,Outside,Outside,,,,,kelp bass,355,,,,,,kept,,,
226,227,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,233,,,,,,,,,
229,230,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,250,,,,,,,,,
231,232,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,225,,,,,,,,,
236,237,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,335,,,,,,,,,
238,239,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,285,,,,,,,,,
240,241,10/30/2012,11/2/2012,,,3,,,2,,,La Jolla,La Jolla,,,,Outside,Outside,,,,,kelp bass,229,229,,,,,"released, tag left in place",,,
242,243,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,234,,,,,,,,,
244,245,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,248,,,,,,,,,
247,248,10/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,229,,,,,,,,,
249,250,10/30/2012,7/1/2013,,,,,,2,,,La Jolla,La Jolla,,,,Outside,Outside,,,,,kelp bass,250,250,,,,,"released, tag left in place",,,
